api_name,name_cs,desc_cs,name_en,desc_en,name_de,desc_de,name_pl,desc_pl,name_es,desc_es
ACH_SPACEFARER,Kosmonaut,Postav kosmodrom.,Spacefarer,Build a spaceport.,Raumfahrer,Bau einen Raumhafen.,Kosmonauta,Zbuduj kosmodrom.,Viajero espacial,Construye un puerto espacial.
ACH_SKYLINE,Panorama,Postav deset výškových budov.,Skyline,Build ten high-rises.,Skyline,Bau zehn Hochhäuser.,Panorama,Zbuduj dziesięć wieżowców.,Perfil urbano,Construye diez rascacielos.
ACH_ARCOLOGIST,Arkolog,Postav arkologii.,Arcologist,Build an arcology.,Arkologe,Bau eine Arkologie.,Arkolog,Zbuduj arkologię.,Arcólogo,Construye una arcología.
ACH_MEGASTRUCTURE,Megastavba,Postav Věž megapole.,Megastructure,Build the Megacity Spire.,Megabau,Bau den Megastadt-Turm.,Megastruktura,Zbuduj iglicę megamiasta.,Megaestructura,Construye la aguja de la megaciudad.
ACH_WORLD_BUILDER,Stavitel světů,Postav Světovou výheň.,World builder,Build the World Forge.,Weltenbauer,Bau die Weltenschmiede.,Budowniczy świata,Zbuduj kuźnię świata.,Constructor de mundos,Construye la forja del mundo.
ACH_ORBITAL,Orbitální,Postav Orbitální prstenec.,Orbital,Build the Orbital Ring.,Orbital,Bau den Orbitalring.,Orbitalny,Zbuduj pierścień orbitalny.,Orbital,Construye el anillo orbital.
ACH_GOVERNOR_HIRED,Najatý guvernér,Vyzkoumej městskou správu.,Governor hired,Research municipal administration.,Statthalter eingesetzt,Erforsche die Stadtverwaltung.,Zarządca zatrudniony,Zbadaj administrację miejską.,Gobernador contratado,Investiga la administración municipal.
ACH_NAVIGATOR,Navigátor,Vyzkoumej kartografii.,Navigator,Research cartography.,Navigator,Erforsche die Kartografie.,Nawigator,Zbadaj kartografię.,Navegante,Investiga la cartografía.
ACH_ENGINEER,Inženýr,Vyzkoumej výrobní linku.,Engineer,Research the assembly line.,Ingenieur,Erforsche das Fließband.,Inżynier,Zbadaj linię montażową.,Ingeniero,Investiga la cadena de montaje.
ACH_NETWORKED,Propojeno,Vyzkoumej sítě.,Networked,Research networks.,Vernetzt,Erforsche die Netzwerke.,Podłączony,Zbadaj sieci.,Conectado,Investiga las redes.
ACH_ROBOTICIST,Robotik,Vyzkoumej robotiku.,Roboticist,Research robotics.,Robotiker,Erforsche die Robotik.,Robotyk,Zbadaj robotykę.,Especialista en robótica,Investiga la robótica.
ACH_IMMORTAL,Nesmrtelnost,Vyzkoumej dlouhověkost.,Immortal,Research longevity.,Unsterblich,Erforsche die Langlebigkeit.,Nieśmiertelny,Zbadaj długowieczność.,Inmortal,Investiga la longevidad.
ACH_PLANETARY,Planetární,Vzestup po čtvrté.,Planetary,Ascend a fourth time.,Planetar,Steig ein viertes Mal auf.,Planetarny,Wznieś się po raz czwarty.,Planetario,Asciende por cuarta vez.
ACH_ETERNAL,Věčná civilizace,Vzestup po šesté.,Eternal civilization,Ascend a sixth time.,Ewige Zivilisation,Steig ein sechstes Mal auf.,Wieczna cywilizacja,Wznieś się po raz szósty.,Civilización eterna,Asciende por sexta vez.
ACH_HOARDER_WOOD,Zásoba dřeva,Měj v zásobě 500 dřeva.,Woodpile,Hold 500 wood in storage.,Holzstapel,Halte 500 Holz im Lager.,Sterta drewna,Miej 500 drewna w magazynie.,Pila de leña,Ten 500 de madera en el almacén.
ACH_HOARDER_STONE,Zásoba kamene,Měj v zásobě 500 kamene.,Stone reserve,Hold 500 stone in storage.,Steinvorrat,Halte 500 Stein im Lager.,Zapas kamienia,Miej 500 kamienia w magazynie.,Reserva de piedra,Ten 500 de piedra en el almacén.
ACH_HOARDER_FOOD,Sýpky plné,Měj v zásobě 500 jídla.,Full granaries,Hold 500 food in storage.,Volle Speicher,Halte 500 Nahrung im Lager.,Pełne spichlerze,Miej 500 jedzenia w magazynie.,Graneros llenos,Ten 500 de comida en el almacén.
ACH_HOARDER_TOOLS,Plná dílna,Měj v zásobě 250 nástrojů.,Well equipped,Hold 250 tools in storage.,Gut ausgerüstet,Halte 250 Werkzeuge im Lager.,Dobrze wyposażony,Miej 250 narzędzi w magazynie.,Bien equipado,Ten 250 herramientas en el almacén.
ACH_WOODCUTTER_2,Pán lesů,Nasbírej 10 000 dřeva vlastníma rukama.,Lord of the forest,"Harvest 10,000 wood by hand.",Herr des Waldes,Ernte 10 000 Holz von Hand.,Władca lasu,Zbierz ręcznie 10 000 drewna.,Señor del bosque,Recoge 10 000 de madera a mano.
ACH_QUARRYMAN_2,Pán skal,Nasbírej 5 000 kamene vlastníma rukama.,Lord of the rock,"Harvest 5,000 stone by hand.",Herr des Gesteins,Ernte 5 000 Stein von Hand.,Władca skały,Zbierz ręcznie 5000 kamienia.,Señor de la roca,Recoge 5000 de piedra a mano.
ACH_BUILDER_2,Stavitel tisíce,Postav 1 000 budov.,Thousand builder,"Build 1,000 buildings.",Erbauer von tausend,Bau 1 000 Gebäude.,Budowniczy tysiąca,Postaw 1000 budynków.,Constructor de mil,Levanta 1000 edificios.
ACH_POPULATION_2,Milion,Dosáhni milionu obyvatel.,One million,Reach a million residents.,Eine Million,Erreiche eine Million Bewohner.,Milion,Osiągnij milion mieszkańców.,Un millón,Alcanza un millón de habitantes.
ACH_GARDENER_2,Prales,Zasaď tisíc stromů.,Old growth,Plant a thousand trees.,Urwald,Pflanze tausend Bäume.,Puszcza,Zasadź tysiąc drzew.,Bosque viejo,Planta mil árboles.
ACH_FIRST_STEPS,První krok,Postav svou první budovu.,First steps,Place your first building.,Erste Schritte,Setz dein erstes Gebäude.,Pierwsze kroki,Postaw pierwszy budynek.,Primeros pasos,Coloca tu primer edificio.
ACH_FIRST_HARVEST,První úlovek,Nasbírej první dřevo.,First harvest,Gather your first wood.,Erste Ernte,Sammle dein erstes Holz.,Pierwszy zbiór,Zbierz pierwsze drewno.,Primera cosecha,Recoge tu primera madera.
ACH_FIRST_RESEARCH,První objev,Vyzkoumej svou první technologii.,First discovery,Research your first technology.,Erste Entdeckung,Erforsche deine erste Technologie.,Pierwsze odkrycie,Zbadaj pierwszą technologię.,Primer descubrimiento,Investiga tu primera tecnología.
ACH_LANDSCAPER,Zahradní architekt,Přetvoř svou první dlaždici krajiny.,Landscaper,Reshape your first tile of land.,Landschaftsgärtner,Form dein erstes Stück Land um.,Kształtujący teren,Przekształć pierwsze pole terenu.,Paisajista,Remodela tu primera casilla de terreno.
ACH_LANDSCAPER_2,Krajinář,Přetvoř 50 dlaždic krajiny.,Land shaper,Reshape 50 tiles of land.,Landformer,Form 50 Felder Land um.,Rzeźbiarz krajobrazu,Przekształć 50 pól terenu.,Escultor del terreno,Remodela 50 casillas de terreno.
ACH_WORLDSHAPER,Tvůrce světa,Přetvoř 500 dlaždic krajiny.,Worldshaper,Reshape 500 tiles of land.,Weltenformer,Form 500 Felder Land um.,Kształtujący świat,Przekształć 500 pól terenu.,Modelador del mundo,Remodela 500 casillas de terreno.
ACH_FIRST_MERGE,Ze dvou jedno,Sluč blok 2×2 v jednu větší budovu.,Two Into One,Merge a 2x2 block into a single larger building.,Zwei werden eins,Verschmilz einen 2x2-Block zu einem größeren Gebäude.,Dwa w jedno,Scal blok 2x2 w jeden większy budynek.,Dos en uno,Fusiona un bloque de 2x2 en un edificio mayor.
ACH_MERGER,Blok po bloku,Sluč deset bloků.,Block by Block,Merge ten blocks.,Block für Block,Verschmilz zehn Blöcke.,Blok po bloku,Scal dziesięć bloków.,Bloque a bloque,Fusiona diez bloques.
ACH_MERGER_2,Přestavba,Sluč padesát bloků.,Redeveloper,Merge fifty blocks.,Stadterneuerer,Verschmilz fünfzig Blöcke.,Przebudowujący,Scal pięćdziesiąt bloków.,Remodelador,Fusiona cincuenta bloques.
ACH_CITY_SHAPER,Tvůrce města,Sluč dvě stě bloků.,City Shaper,Merge two hundred blocks.,Stadtformer,Verschmilz zweihundert Blöcke.,Twórca miasta,Scal dwieście bloków.,Modelador de ciudades,Fusiona doscientos bloques.
ACH_MONUMENTAL,Odlito v bronzu,Vztyč velkou sochu.,Cast in Bronze,Raise a great statue.,In Bronze gegossen,Errichte eine große Statue.,Odlany w brązie,Postaw wielki posąg.,Fundido en bronce,Levanta una gran estatua.
ACH_CATHEDRAL_BUILT,Práce na generace,Dostav katedrálu.,Generations of Work,Finish a cathedral.,Arbeit von Generationen,Stell eine Kathedrale fertig.,Praca pokoleń,Ukończ katedrę.,Trabajo de generaciones,Termina una catedral.
ACH_STARGAZER,Pozorovatel hvězd,Postav hvězdárnu.,Stargazer,Build an observatory.,Sterngucker,Bau eine Sternwarte.,Gwiaździarz,Zbuduj obserwatorium.,Observador de estrellas,Construye un observatorio.
ACH_GREEN_CITY,Prostor k nadechnutí,Měj deset parků.,Room to Breathe,Have ten parks.,Platz zum Atmen,Halte zehn Parks.,"Miejsce, żeby odetchnąć",Miej dziesięć parków.,Sitio para respirar,Ten diez parques.
ACH_GARDENER_CITY,Pod sklem,Měj tři botanické zahrady.,Under Glass,Have three botanical gardens.,Unter Glas,Halte drei botanische Gärten.,Pod szkłem,Miej trzy ogrody botaniczne.,Bajo cristal,Ten tres jardines botánicos.
ACH_FIRST_WONDER,Základní kámen,Dostav svůj první div světa,Cornerstone,Complete your first wonder,Grundstein,Vollende dein erstes Wunder,Kamień węgielny,Ukończ pierwszy cud,Piedra angular,Completa tu primera maravilla
ACH_WONDER_AGE,Věk divů,Dostav pět divů světa,Age of Wonders,Complete five wonders,Zeitalter der Wunder,Vollende fünf Wunder,Epoka cudów,Ukończ pięć cudów,Era de las maravillas,Completa cinco maravillas
ACH_FIRST_PRAYER,První prosba,Prones modlitbu.,First Plea,Say a prayer.,Erste Bitte,Sprich ein Gebet.,Pierwsza prośba,Wypowiedz modlitwę.,Primera súplica,Reza una plegaria.
ACH_DEVOUT,Zbožný,Prones padesát modliteb.,Devout,Say fifty prayers.,Fromm,Sprich fünfzig Gebete.,Pobożny,Wypowiedz pięćdziesiąt modlitw.,Devoto,Reza cincuenta plegarias.
ACH_SHRINE_BUILDER,Stavitel svatyní,Postav pět svatyní.,Shrine Builder,Build five shrines.,Schreinbauer,Bau fünf Schreine.,Budowniczy kapliczek,Zbuduj pięć kapliczek.,Constructor de santuarios,Construye cinco santuarios.
ACH_CATHEDRAL_OF_FAITH,Tři kláštery,Postav tři kláštery.,Three Monasteries,Build three monasteries.,Drei Klöster,Bau drei Klöster.,Trzy klasztory,Zbuduj trzy klasztory.,Tres monasterios,Construye tres monasterios.
ACH_FIRST_NEIGHBOUR,Jedna říše,Přiveď cizí město do své říše.,One Realm,Bring a foreign city into your realm.,Ein Reich,Hol eine fremde Stadt in dein Reich.,Jedno państwo,Wprowadź obce miasto do swojego państwa.,Un reino,Trae una ciudad extranjera a tu reino.
ACH_EMPIRE_OF_FIVE,Pět měst,Měj v říši pět cizích měst.,Five Cities,Have five foreign cities in your realm.,Fünf Städte,Hab fünf fremde Städte in deinem Reich.,Pięć miast,Miej w państwie pięć obcych miast.,Cinco ciudades,Ten cinco ciudades extranjeras en tu reino.
ACH_CARTOGRAPHER_FOG,Kreslíř map,Odhal dvě stě kusů světa.,Mapmaker,Uncover two hundred stretches of the world.,Kartenzeichner,Hol zweihundert Stücke Welt aus dem Nebel.,Rysownik map,Odsłoń dwieście kawałków świata.,Trazador de mapas,Descubre doscientos trozos de mundo.
ACH_WORLD_WALKER,Poutník,Odhal dva tisíce kusů světa.,World Walker,Uncover two thousand stretches of the world.,Weltenwanderer,Hol zweitausend Stücke Welt aus dem Nebel.,Wędrowiec,Odsłoń dwa tysiące kawałków świata.,Caminante del mundo,Descubre dos mil trozos de mundo.
ACH_FIRST_SCHOLAR,První učenec,Postav knihovnu.,First Scholar,Build a library.,Erster Gelehrter,Bau eine Bibliothek.,Pierwszy uczony,Zbuduj bibliotekę.,Primer erudito,Construye una biblioteca.
ACH_UNIVERSITY_TOWN,Univerzitní město,Postav tři univerzity.,University Town,Build three universities.,Universitätsstadt,Bau drei Universitäten.,Miasto uniwersyteckie,Zbuduj trzy uniwersytety.,Ciudad universitaria,Construye tres universidades.
ACH_SCIENCE_HOARD,Tisíc poznatků,Měj ve skladu 1 000 vědy.,A Thousand Findings,"Hold 1,000 science in storage.",Tausend Erkenntnisse,Halte 1 000 Wissenschaft im Lager.,Tysiąc odkryć,Miej 1000 nauki w magazynie.,Mil hallazgos,Ten 1000 de ciencia en el almacén.
ACH_FAITH_HOARD,Plná pokladnice víry,Měj ve skladu 500 víry.,A Full Treasury of Faith,Hold 500 faith in storage.,Volle Schatzkammer des Glaubens,Halte 500 Glauben im Lager.,Pełny skarbiec wiary,Miej 500 wiary w magazynie.,Un tesoro de fe,Ten 500 de fe en el almacén.
ACH_SCOUT,Zvěd,Odhal 800 dlaždic mapy.,Scout,Reveal 800 map tiles.,Kundschafter,Decke 800 Kartenfelder auf.,Zwiadowca,Odkryj 800 pól mapy.,Explorador,Revela 800 casillas del mapa.
ACH_SURVEYOR,Zeměměřič,Odhal 5 000 dlaždic mapy.,Surveyor,"Reveal 5,000 map tiles.",Landvermesser,Decke 5.000 Kartenfelder auf.,Geodeta,Odkryj 5000 pól mapy.,Agrimensor,Revela 5000 casillas del mapa.
ACH_HORIZON_CHASER,Za obzorem,Odhal 15 000 dlaždic mapy.,Horizon Chaser,"Reveal 15,000 map tiles.",Horizontjäger,Decke 15.000 Kartenfelder auf.,Łowca horyzontu,Odkryj 15 000 pól mapy.,Tras el horizonte,Revela 15 000 casillas del mapa.
ACH_ATLAS_MAKER,Tvůrce atlasu,Odhal 40 000 dlaždic mapy.,Atlas Maker,"Reveal 40,000 map tiles.",Atlasmacher,Decke 40.000 Kartenfelder auf.,Twórca atlasu,Odkryj 40 000 pól mapy.,Creador de atlas,Revela 40 000 casillas del mapa.
ACH_GOOD_NEIGHBOUR,Dobrý soused,Přiber ke své říši druhé cizí město.,Good Neighbour,Bring a second foreign city into your realm.,Guter Nachbar,Nimm eine zweite fremde Stadt auf.,Dobry sąsiad,Przyłącz drugie obce miasto.,Buen vecino,Incorpora una segunda ciudad extranjera.
ACH_FEDERATION,Federace,Přiber ke své říši 10 cizích měst.,Federation,Bring 10 foreign cities into your realm.,Föderation,Nimm 10 fremde Städte auf.,Federacja,Przyłącz 10 obcych miast.,Federación,Incorpora 10 ciudades extranjeras.
ACH_CONFEDERACY,Konfederace,Přiber ke své říši 20 cizích měst.,Confederacy,Bring 20 foreign cities into your realm.,Konföderation,Nimm 20 fremde Städte auf.,Konfederacja,Przyłącz 20 obcych miast.,Confederación,Incorpora 20 ciudades extranjeras.
ACH_ALL_ROADS,Všechny cesty vedou k tobě,Přiber ke své říši 35 cizích měst.,All Roads Lead Here,Bring 35 foreign cities into your realm.,Alle Wege führen hierher,Nimm 35 fremde Städte auf.,Wszystkie drogi prowadzą tu,Przyłącz 35 obcych miast.,Todos los caminos llevan aquí,Incorpora 35 ciudades extranjeras.
